accelX,accelY,accelZ,gyroX,gyroY,gyroZ,activity
988,212,16388,-52,102,-1,0
936,304,16704,70,-25,-4,0
912,-60,15912,-21,2,8,0
984,56,16428,-31,15,-2,0
1112,140,16148,30,-44,0,0
976,40,16024,-42,4,2,0
1020,212,16272,5,1,-7,0
1016,208,16204,18,-22,2,0
972,60,16072,-28,10,2,0
992,208,16348,24,8,-2,0
1128,212,16104,14,-14,0,0
1024,200,16204,-28,5,-6,0
872,212,16272,19,18,-13,0
912,184,16172,3,7,-11,0
968,108,16128,-12,6,-6,0
932,188,16268,25,22,-16,0
920,240,16296,8,14,-17,0
1056,216,16196,-1,1,-4,0
1012,136,16224,7,6,-4,0
1000,156,16208,-4,1,2,0
968,116,16216,-7,8,-2,0
952,92,16228,19,2,-6,0
1032,136,16260,9,7,-6,0
1032,112,16136,4,2,-3,0
1060,100,16276,3,14,-3,0
964,176,16152,3,5,-3,0
952,148,16188,-2,-2,2,0
844,136,16148,1,7,-4,0
1004,132,16144,12,1,-4,0
960,104,16152,0,1,-7,0
1012,180,16168,2,-5,-7,0
1016,160,16212,8,-3,-8,0
980,176,16228,9,-1,-2,0
996,160,16004,1,11,-9,0
976,220,16276,10,11,-8,0
948,88,16276,3,3,-5,0
992,104,16204,2,3,-4,0
1008,156,16192,15,9,-9,0
956,140,16224,1,11,-7,0
988,144,16184,-3,8,-5,0
1000,192,16216,13,12,-9,0
984,88,16204,-5,7,-7,0
1028,160,16204,-3,-10,-6,0
976,160,16232,10,1,1,0
908,136,16340,3,5,-3,0
976,140,16180,2,10,-1,0
940,184,16232,15,8,-17,0
976,244,16140,3,2,-5,0
1008,44,16220,0,-6,-4,0
952,192,16232,0,2,-1,0
944,104,16148,3,8,-7,0
972,136,16284,11,-1,2,0
1060,204,16240,0,2,-3,0
1000,224,16252,10,0,-7,0
888,192,16184,6,21,-10,0
972,140,16308,5,-2,-8,0
944,148,16216,7,-1,-9,0
1008,172,16168,4,8,1,0
956,192,16292,4,8,-9,0
956,176,16244,9,7,-8,0
992,204,16252,1,4,-6,0
1000,176,16228,2,10,-6,0
980,224,16192,1,2,-9,0
948,132,16148,-4,-2,1,0
916,148,16176,0,6,-13,0
916,148,16176,0,6,-13,0
1020,148,16292,-1,15,-6,0
960,168,16284,2,9,-4,0
988,204,16280,-5,-18,-6,0
960,164,16280,3,-4,-14,0
964,192,16124,18,17,-2,0
944,180,16192,6,21,6,0
952,164,16272,0,4,-2,0
956,176,16216,14,11,-1,0
976,164,16116,-11,6,0,0
980,156,16256,8,3,-12,0
956,188,16288,18,23,-18,0
1040,184,16216,-5,-13,1,0
1028,136,16228,0,-5,-15,0
940,164,16232,7,19,-3,0
908,176,16196,-16,-1,1,0
980,168,16260,1,6,-10,0
1000,196,16240,-2,-10,0,0
1028,136,16120,7,8,-6,0
1000,196,16180,-3,5,-12,0
988,204,16176,14,14,-2,0
936,196,16204,6,4,-2,0
968,120,16292,11,6,-6,0
964,244,16232,7,1,-7,0
968,108,16240,7,18,-6,0
964,192,16216,-1,-3,3,0
1016,208,16216,8,11,-2,0
992,180,16196,1,11,-9,0
980,236,16364,2,12,-15,0
984,120,16224,-7,2,-10,0
1032,160,16128,2,6,-2,0
920,212,16228,-4,1,-1,0
952,184,16228,14,19,-4,0
880,128,16272,2,11,-7,0
944,192,16096,11,9,-1,0
924,256,16272,9,8,-10,0
1052,120,16160,-5,4,-7,0
976,92,16200,-5,6,2,0
948,124,16312,5,1,-5,0
1052,116,15960,5,6,-11,0
996,120,16136,-4,10,-11,0
1012,192,16180,5,6,-6,0
1016,140,16160,2,1,-8,0
988,152,16248,0,1,-4,0
964,192,16212,7,10,-7,0
916,180,16184,3,5,-11,0
992,140,16260,0,2,-4,0
992,168,16180,0,0,-1,0
1036,188,16192,-7,4,3,0
976,164,16204,4,-2,-2,0
1004,136,16240,9,-5,-4,0
1032,128,16212,9,4,-10,0
956,148,16272,-3,3,-7,0
936,136,16256,-2,6,-15,0
940,152,16340,-9,7,-1,0
1020,124,16196,2,8,-2,0
1056,172,16244,0,3,-4,0
1036,152,16288,-2,10,-3,0
968,132,16200,9,5,-6,0
1004,108,16264,-2,-2,-10,0
1032,128,16308,3,8,-9,0
984,124,16180,0,9,-10,0
952,172,16188,3,0,-9,0
960,168,16200,-5,5,7,0
996,148,16076,14,14,1,0
1016,188,16220,0,10,-7,0
1052,172,16084,5,3,-8,0
952,164,16308,-1,3,-7,0
1028,176,16312,-2,-6,-4,0
1016,188,16220,0,10,-7,0
1052,172,16084,5,3,-8,0
952,164,16308,-1,3,-7,0
1028,176,16312,-2,-6,-4,0
952,92,16216,-1,8,-13,0
900,224,16268,1,-1,-9,0
964,188,16216,-6,11,-8,0
936,156,16284,-1,4,-4,0
948,160,16228,3,15,-5,0
964,156,16228,8,-1,-4,0
1012,148,16200,3,4,0,0
984,128,16276,-4,9,-9,0
1012,136,16116,5,20,-2,0
916,100,16232,-5,9,-6,0
892,200,16264,3,-2,-11,0
1080,136,16056,-4,-9,-10,0
1000,220,16228,9,8,-5,0
976,156,16132,5,-1,-12,0
984,136,16228,1,8,-2,0
960,160,16320,-2,8,-13,0
976,148,16192,6,5,-7,0
936,124,16228,2,-2,-2,0
